year,country_id,gdp,pop_in_millions,nobel_prize_winners
2000,1,13623.08,663.37,307
2000,2,18011.06,367.83,280
2000,3,8357.83,943.32,419
2000,4,24761.07,74.33,75
2000,5,1670.82,524.18,74
2000,6,25617.8,1000.83,429
2000,7,18106.5,497.34,44
2000,8,1489.96,626.02,91
2000,9,4856.83,427.29,338
2000,10,20751.58,892.86,403
2000,11,16874.07,1449.47,383
2000,12,17377.41,1397.29,47
2000,13,23059.99,484.91,194
2000,14,24611.54,1137.9,431
2000,15,16523.12,439.96,68
2000,16,3678.26,1289.25,168
2000,17,15821.04,787.44,356
2000,18,6287.35,88.22,292
2000,19,21897.26,943.84,44
2000,20,14520.22,1033.29,403
2000,21,29588.63,431.49,311
2000,22,25436.98,390.23,294
2000,23,29850.83,531.43,66
2000,24,18436.41,745.1,373
2000,25,18963.09,739.26,92
2000,26,26512.24,349.85,148
2000,27,29378.14,3.37,12
2000,28,13957.27,1195.3,377
2000,29,25445.13,1199.55,212
2000,30,12432.95,501.35,286
2000,31,24185.18,319.29,327
2000,32,6051.59,423.16,404
2000,33,2053.73,451.13,281
2000,34,9731.24,10.19,351
2000,35,10011.82,594.68,291
2000,36,18487.48,44.65,89
2000,37,5836.59,1250.9,344
2000,38,14383.67,712.28,18
2000,39,19376.65,722.76,321
2000,40,13829.33,1297.97,171
2000,41,13884.85,1221.44,380
2000,42,1699.55,782.09,289
2000,43,21754.43,473.94,274
2000,44,581.18,866.52,169
2000,45,23990.07,1332.16,181
2000,46,2005.07,224.81,430
2000,47,954.57,1475.44,320
2000,48,16037.51,249.79,310
2000,49,11699.2,893.19,442
2000,50,23474.67,463.11,439
2002,1,9448.69,48.41,211
2002,2,2622.2,1315.7,190
2002,3,13568.15,1426.14,110
2002,4,15762.51,263.34,191
2002,5,23552.62,1166.91,47
2002,6,13324.35,38.38,247
2002,7,27150.57,231.96,174
2002,8,27710.63,1098.93,268
2002,9,9324.55,491.68,393
2002,10,26156.53,1233.39,264
2002,11,20307.98,199.94,370
2002,12,1115.85,581.99,442
2002,13,15679.9,7.16,22
2002,14,20617.83,891.84,44
2002,15,10012.03,1333.89,52
2002,16,15626.92,988.82,159
