sport,event,year,athlete_id,country_id,bronze,silver,gold
Shooting,Doubles,2008,427,5,0,1,0
Boxing,100m,2012,698,44,0,1,1
Weightlifting,200m,2012,158,2,0,1,1
Tennis,Final,2020,674,1,1,0,1
Boxing,Doubles,2008,217,4,1,1,0
Athletics,Singles,2020,391,6,1,1,0
Cycling,Butterfly,2004,22,14,0,1,1
Rowing,400m,2004,306,32,1,1,0
Boxing,200m,2012,525,13,1,1,1
Tennis,Final,2020,615,28,0,1,1
Weightlifting,400m,2016,646,28,0,0,1
Tennis,Relay,2024,703,46,0,1,0
Rowing,All Around,2016,82,31,1,0,0
Rowing,Relay,2020,438,19,0,0,0
Shooting,200m,2020,436,27,0,1,1
Boxing,Final,2020,84,50,0,0,1
Gymnastics,400m,2016,47,6,1,1,1
Weightlifting,All Around,2024,461,40,1,1,0
Cycling,400m,2004,765,39,1,0,1
Shooting,100m,2004,405,8,0,0,1
Tennis,Butterfly,2024,989,48,1,1,1
Wrestling,Final,2004,129,9,0,0,0
Swimming,Relay,2004,215,31,0,0,1
Shooting,Relay,2004,309,50,1,0,1
Wrestling,100m,2004,171,10,1,1,1
Swimming,All Around,2020,249,13,1,1,0
Boxing,100m,2004,646,46,1,1,1
Weightlifting,Doubles,2024,568,19,0,1,1
Tennis,Singles,2020,743,40,1,0,0
Shooting,100m,2016,591,21,0,1,1
Tennis,200m,2016,638,42,1,1,1
Swimming,400m,2012,744,13,1,1,1
Cycling,Singles,2008,602,44,1,1,0
Rowing,Butterfly,2016,854,44,1,1,0
Weightlifting,Relay,2012,708,48,0,1,0
Gymnastics,Relay,2008,621,32,0,1,1
Rowing,Relay,2008,571,4,0,1,1
Boxing,400m,2008,848,33,0,0,1
Wrestling,200m,2020,233,8,0,1,1
Boxing,Freestyle,2004,789,36,1,0,0
Swimming,All Around,2016,986,49,0,0,0
Shooting,100m,2020,108,11,0,0,1
Gymnastics,Final,2024,453,49,1,0,0
Boxing,Freestyle,2008,126,13,1,1,0
