sport,event,year,athlete_id,country_id,bronze,silver,gold
Curling,Event4,2014,698,20,1,0,1
Curling,Event3,2002,58,31,1,0,1
Skating,Event2,2014,508,50,1,1,0
Skating,Event4,2002,431,19,0,0,1
Curling,Event4,2018,342,2,1,0,1
Snowboard,Event2,2010,37,7,1,0,1
Bobsleigh,Event4,2018,64,31,0,0,0
Bobsleigh,Event1,2002,537,5,0,0,1
Snowboard,Event1,2006,214,50,1,1,0
Curling,Event4,2018,882,46,0,1,1
Skiing,Event1,2002,714,25,1,0,0
Curling,Event3,2014,923,17,0,0,0
Skiing,Event2,2018,474,39,0,1,1
Skating,Event3,2002,85,42,0,0,0
Curling,Event1,2010,618,25,1,1,1
Curling,Event2,2018,971,19,0,0,1
Skating,Event3,2006,543,33,1,1,0
Bobsleigh,Event4,2006,314,41,1,0,0
Skiing,Event2,2014,487,9,0,1,0
Skiing,Event4,2006,367,3,1,1,0
Curling,Event4,2014,633,39,0,1,1
Snowboard,Event2,2022,478,10,1,1,1
Snowboard,Event2,2022,523,43,1,0,0
Snowboard,Event4,2014,170,33,1,1,1
Bobsleigh,Event4,2018,86,4,1,0,1
Bobsleigh,Event2,2018,387,40,1,1,0
Skating,Event1,2022,325,32,0,0,0
Curling,Event1,2010,21,17,0,0,1
Skiing,Event1,2006,610,50,1,0,0
Bobsleigh,Event1,2006,433,24,1,0,1
Snowboard,Event4,2006,820,23,1,0,0
Snowboard,Event2,2010,215,5,0,0,0
Skating,Event3,2010,406,29,0,0,0
Bobsleigh,Event1,2022,48,47,0,1,1
Snowboard,Event2,2002,927,29,1,1,0
Bobsleigh,Event2,2002,190,7,1,0,1
Curling,Event2,2018,493,41,0,0,0
Skiing,Event3,2018,176,27,0,0,0
Curling,Event3,2002,1,27,0,0,1
Skating,Event3,2022,608,28,1,0,0
Skating,Event1,2010,256,22,0,1,1
Skiing,Event1,2018,729,2,0,1,1
Skiing,Event1,2010,765,16,0,0,1
Snowboard,Event4,2002,851,10,1,1,0
Skating,Event4,2014,622,28,1,0,1
Skating,Event3,2014,154,21,1,1,0
Skating,Event2,2006,318,26,1,0,1
Snowboard,Event3,2022,765,45,1,0,1
Skating,Event3,2002,757,34,0,1,1
Skiing,Event1,2010,576,36,0,1,0
Skating,Event1,2002,582,32,1,1,1
Skiing,Event2,2014,504,48,1,1,0
Skating,Event3,2022,297,6,1,1,0
Snowboard,Event3,2006,767,26,1,0,0
Skating,Event1,2002,337,8,0,1,1
Curling,Event4,2018,259,40,1,0,1
Curling,Event3,2002,421,47,0,1,0
Skiing,Event4,2014,676,35,0,1,0
Skiing,Event4,2018,80,17,0,1,1
Snowboard,Event4,2006,688,15,1,1,1
Skiing,Event1,2010,258,8,1,0,1
Skiing,Event1,2014,443,1,0,1,1
Skiing,Event1,2002,921,29,1,1,0
Snowboard,Event3,2010,372,30,1,0,1
Bobsleigh,Event4,2002,444,28,1,0,0
Snowboard,Event2,2006,567,49,0,1,0
Skating,Event2,2002,974,41,0,0,1
Curling,Event4,2006,764,24,1,0,0
Bobsleigh,Event4,2010,804,45,0,0,0
Skiing,Event3,2018,599,18,1,1,1
Snowboard,Event1,2002,181,43,0,1,1
Curling,Event1,2018,222,27,0,0,0
Curling,Event3,2014,844,43,0,0,1
Curling,Event1,2022,670,26,0,1,0
Curling,Event3,2010,634,23,0,1,0
Bobsleigh,Event4,2014,772,5,1,1,0
Snowboard,Event4,2010,555,26,0,1,0
Curling,Event3,2006,883,25,1,0,0
Skiing,Event2,2006,335,18,1,0,0
Bobsleigh,Event3,2002,628,29,1,0,1
Skiing,Event2,2022,911,19,0,0,0
Skiing,Event4,2014,331,35,1,1,0
Snowboard,Event2,2002,775,1,1,1,0
Curling,Event3,2022,732,27,0,1,0
Bobsleigh,Event3,2018,883,44,0,1,1
Snowboard,Event1,2010,290,30,0,1,0
Skiing,Event3,2014,16,9,1,0,0
Bobsleigh,Event4,2010,378,8,0,0,0
Skating,Event1,2002,917,40,1,1,1
Skating,Event4,2006,925,35,0,1,0
Bobsleigh,Event3,2002,392,11,0,1,0
Bobsleigh,Event2,2010,323,15,0,0,1
Curling,Event3,2002,328,24,0,0,0
Skating,Event2,2010,480,6,0,1,1
Skating,Event1,2022,371,8,0,0,1
Skiing,Event1,2010,767,6,1,0,0
Skiing,Event1,2014,265,41,0,1,1
Skiing,Event3,2014,595,39,0,0,0
Bobsleigh,Event4,2022,640,10,1,1,1
Curling,Event4,2018,208,3,0,1,0
Curling,Event1,2014,53,24,1,0,1
Skiing,Event4,2002,153,20,0,0,1
Curling,Event3,2018,89,9,1,0,0
Bobsleigh,Event4,2018,295,13,1,1,0
Bobsleigh,Event3,2022,710,13,0,1,1
Snowboard,Event3,2010,976,27,0,1,0
Snowboard,Event3,2002,939,19,1,0,0
Snowboard,Event4,2018,564,38,1,1,0
Curling,Event1,2006,204,1,1,0,0
Curling,Event2,2022,531,34,0,0,1
Skiing,Event2,2010,28,40,0,1,0
Skating,Event1,2002,797,20,0,1,1
Bobsleigh,Event3,2014,42,32,0,1,0
Curling,Event4,2010,489,47,1,1,0
Bobsleigh,Event1,2010,211,32,0,0,0
Curling,Event2,2002,578,30,0,0,0
Skating,Event4,2014,52,41,1,1,0
Snowboard,Event4,2006,107,1,1,0,1
Bobsleigh,Event2,2018,665,42,0,1,1
Skiing,Event1,2014,794,26,0,0,1
Snowboard,Event1,2010,745,11,1,0,1
Bobsleigh,Event3,2018,952,2,1,0,1
Snowboard,Event2,2006,647,19,0,1,1
Skiing,Event2,2002,43,36,0,0,1
Snowboard,Event1,2018,560,23,1,1,1
Snowboard,Event1,2010,919,35,0,0,1
Bobsleigh,Event3,2018,387,45,1,0,1
Skiing,Event2,2002,222,5,0,1,1
Bobsleigh,Event3,2002,328,41,1,1,0
Skiing,Event4,2022,570,1,0,1,0
Skating,Event2,2014,110,9,1,1,0
Skating,Event1,2010,806,21,1,0,0
Bobsleigh,Event2,2022,80,19,0,0,1
Skating,Event4,2006,277,31,1,1,0
Curling,Event1,2014,1000,35,0,1,0
Skiing,Event3,2022,885,40,1,1,1
Curling,Event1,2018,317,1,1,1,1
Skating,Event1,2002,341,29,1,1,1
Bobsleigh,Event2,2002,615,40,1,1,1
Skating,Event2,2010,925,22,1,0,1
Skating,Event4,2014,466,12,0,0,1
Curling,Event2,2022,431,31,1,0,1
Skiing,Event1,2010,793,17,0,0,0
Bobsleigh,Event2,2018,417,43,0,0,0
Curling,Event4,2006,159,23,1,1,1
Curling,Event4,2014,89,4,0,1,1
Skating,Event4,2010,657,36,0,1,0
Bobsleigh,Event1,2022,313,50,0,1,0
Bobsleigh,Event2,2022,375,1,1,0,0
Skiing,Event2,2014,423,19,1,0,1
Skiing,Event3,2018,802,3,0,0,0
Snowboard,Event1,2014,402,23,1,1,1
Skating,Event2,2002,56,7,1,1,1
Curling,Event4,2022,306,49,0,0,1
Curling,Event2,2010,682,44,1,0,0
Bobsleigh,Event2,2006,112,27,1,1,1
Snowboard,Event1,2002,768,29,0,1,0
Skiing,Event4,2002,219,43,1,0,0
Skating,Event1,2002,417,18,0,0,1
Bobsleigh,Event3,2006,318,37,1,1,1
Curling,Event4,2022,703,23,0,1,0
Skating,Event4,2014,689,17,0,0,1
Skiing,Event2,2018,383,45,1,0,1
Skating,Event3,2018,655,36,1,1,0
Skiing,Event3,2022,72,44,1,1,0
Snowboard,Event2,2006,51,7,1,1,0
Skiing,Event2,2022,990,9,1,1,1
Skating,Event3,2006,234,50,0,1,1
Bobsleigh,Event4,2014,710,42,1,0,1
Bobsleigh,Event4,2006,269,41,1,1,1
Curling,Event2,2022,793,19,0,0,1
Bobsleigh,Event1,2002,33,39,1,1,1
Curling,Event2,2018,584,16,0,1,1
Curling,Event1,2006,515,9,1,1,1
Snowboard,Event4,2002,991,50,0,1,0
Skiing,Event3,2022,373,31,0,1,1
Curling,Event3,2022,360,25,1,0,0
Curling,Event3,2006,942,17,1,0,1
Skiing,Event1,2014,874,42,0,0,0
Snowboard,Event3,2018,665,19,0,1,1
Snowboard,Event3,2010,635,2,1,0,0
Curling,Event2,2002,653,7,0,0,1
Skating,Event2,2002,996,43,0,1,1
Skating,Event4,2018,518,38,0,1,1
Skiing,Event4,2002,379,2,1,0,1
Skiing,Event4,2006,395,43,0,0,1
Bobsleigh,Event2,2010,731,43,0,0,1
Skating,Event4,2006,4,50,1,0,1
Bobsleigh,Event1,2014,526,40,0,1,1
Bobsleigh,Event3,2006,718,42,0,1,0
Bobsleigh,Event1,2018,308,24,1,1,0
Snowboard,Event2,2018,937,24,1,0,0
Bobsleigh,Event2,2022,620,2,0,1,1
Skiing,Event3,2018,741,37,1,0,1
Skating,Event4,2018,852,48,1,0,1
Skating,Event2,2006,985,14,0,1,0
Skiing,Event2,2022,306,32,1,1,0
Snowboard,Event4,2022,98,30,1,1,0
Curling,Event1,2002,822,2,0,0,1
Snowboard,Event4,2010,679,40,1,1,0
Skiing,Event3,2002,652,9,1,0,0
Bobsleigh,Event2,2002,629,45,0,1,0
Bobsleigh,Event4,2018,214,11,1,0,1
Skating,Event4,2006,184,26,1,1,0
Skiing,Event1,2022,903,23,0,1,0
Snowboard,Event4,2006,880,43,0,1,1
Bobsleigh,Event2,2022,100,20,1,1,1
Skiing,Event4,2022,277,21,1,0,1
Curling,Event3,2002,990,37,0,1,1
Skiing,Event3,2014,875,15,1,1,0
Bobsleigh,Event1,2010,691,8,0,1,0
Skiing,Event1,2006,92,42,1,1,0
Skiing,Event4,2010,593,7,1,1,1
Bobsleigh,Event4,2002,635,27,1,1,1
Skiing,Event1,2022,341,4,1,0,1
Skiing,Event1,2002,190,26,1,1,1
Bobsleigh,Event3,2014,380,27,1,1,1
Curling,Event2,2018,659,31,1,1,0
Skiing,Event3,2002,444,34,1,0,0
Curling,Event2,2002,627,20,1,0,0
Skating,Event4,2022,24,27,0,1,1
Curling,Event4,2006,857,1,1,0,1
Curling,Event1,2014,727,34,0,1,0
Snowboard,Event2,2002,957,37,1,0,1
Skiing,Event4,2002,880,4,1,1,0
Bobsleigh,Event1,2006,444,30,0,1,0
Skating,Event1,2002,472,43,1,1,1
Curling,Event1,2018,590,19,1,1,0
Snowboard,Event4,2022,50,36,1,1,1
Skiing,Event2,2006,620,33,0,0,1
Snowboard,Event3,2022,481,29,0,1,0
Bobsleigh,Event3,2018,413,34,1,1,0
Bobsleigh,Event3,2018,192,45,0,0,0
Snowboard,Event4,2002,921,21,1,1,1
Snowboard,Event3,2002,119,13,0,1,1
Curling,Event1,2002,856,21,1,1,0
Skating,Event1,2018,164,35,0,1,1
Skating,Event1,2022,246,29,0,1,1
Skiing,Event3,2022,656,11,0,0,1
Snowboard,Event4,2022,242,31,0,0,0
Snowboard,Event1,2010,109,33,0,0,1
Snowboard,Event1,2002,283,29,0,1,1
Skating,Event3,2018,269,4,1,0,1
Skiing,Event2,2018,262,10,1,0,0
Snowboard,Event2,2014,809,35,0,0,1
Skiing,Event4,2018,75,19,1,0,1
Bobsleigh,Event4,2002,106,31,1,0,1
Curling,Event1,2014,910,31,0,0,1
Snowboard,Event3,2018,158,18,0,1,1
Bobsleigh,Event3,2022,496,12,1,0,0
Curling,Event1,2006,86,24,0,1,0
Bobsleigh,Event3,2018,572,39,1,0,0
Skating,Event3,2022,953,30,1,1,0
Snowboard,Event3,2018,989,23,0,0,1
Skiing,Event1,2002,11,9,1,0,0
Skating,Event2,2006,454,49,1,1,0
Snowboard,Event3,2018,314,44,0,1,0
